name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Colorado,5/12/2010,39.1,31.4,34.1,32.4,22.3,27.4,31.3,89.6,0.257,100,45.83,"rain,snow",0.9,0.4,,12.5,351.6,1015,99.3,5.5,319.9,27.6,10,,2010-05-12T05:48:11,2010-05-12T20:05:01,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/13/2010,49.7,30.8,39.9,47.5,25.4,37.7,32,75.7,0.049,100,33.33,"rain,snow",0,0.1,,7.1,84.1,1021.1,89.7,8,240,20.8,7,,2010-05-13T05:47:12,2010-05-13T20:05:57,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/14/2010,58.3,39.8,46.6,58.3,34.9,43.8,39.7,77.9,0.062,100,29.17,rain,0,0,33.1,22.7,160.1,1021.1,90.5,12,197.5,17.1,8,,2010-05-14T05:46:15,2010-05-14T20:06:54,0.03,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/15/2010,59.6,37.3,48.1,59.6,32.2,46.1,38.8,72.6,0,0,0,,0,0,23.5,17.5,333.5,1017.2,69.3,14.1,299.8,26.1,9,,2010-05-15T05:45:20,2010-05-15T20:07:50,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/16/2010,64.3,36.2,50.8,64.3,31.2,48.8,37.6,63.9,0,0,0,,0,0,20.8,12.8,74.2,1019,43.6,22.1,354.7,30.6,10,,2010-05-16T05:44:26,2010-05-16T20:08:45,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/17/2010,72,45.3,58.7,72,39.9,57.3,40.9,55.7,0,0,0,,0,0,28,19.1,159.3,1016,42.4,27,346.6,29.8,10,,2010-05-17T05:43:34,2010-05-17T20:09:40,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/18/2010,70.2,48.2,58.7,70.2,45,58.4,46,65,0.104,100,12.5,rain,0,0,33.9,24.9,155.4,1006.7,70.8,20.4,255.9,22.1,9,,2010-05-18T05:42:44,2010-05-18T20:10:35,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/19/2010,63.7,44.2,53,63.7,40.6,52.2,42.1,69.3,0.041,100,8.33,rain,0,0,45,11,128.3,1007.3,75.3,17.9,248.7,21.4,8,,2010-05-19T05:41:55,2010-05-19T20:11:29,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/20/2010,67.7,47.3,56.8,67.7,46.3,56.5,45.8,68.8,0,0,0,,0,0,27.5,18.8,100.4,1010.2,63,27.6,360.6,31.1,10,,2010-05-20T05:41:08,2010-05-20T20:12:22,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/21/2010,76.6,48.9,62.1,76.6,46.3,61.9,45.9,59.9,0,0,0,,0,0,36,25.7,176.4,1005.8,57.2,16.6,350.1,30,10,,2010-05-21T05:40:22,2010-05-21T20:13:14,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/22/2010,86.3,47.5,71.5,82.9,43.4,70.4,24.1,20.2,0,0,0,,0,0,49.4,34.8,217.2,992.6,24.2,20.7,382.9,33.1,10,,2010-05-22T05:39:39,2010-05-22T20:14:06,0.31,Partially cloudy,Partly cloudy throughout the day.,wind,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/23/2010,73.6,41.8,56.5,73.6,40,55.8,35.8,47.9,0,0,0,,0,0,36,26.6,126.9,1004.5,23.7,19.8,374.8,32.6,10,,2010-05-23T05:38:57,2010-05-23T20:14:58,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/24/2010,72,44.9,60.4,72,40.9,60.2,27.1,33.8,0,0,0,,0,0,58.3,41.4,204.8,999.6,27.4,24.4,381,33.2,10,,2010-05-24T05:38:16,2010-05-24T20:15:48,0.38,Partially cloudy,Partly cloudy throughout the day.,wind,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/25/2010,68.7,41.9,55.8,68.7,36.1,54.4,30.9,40.4,0,0,0,,0,0,30.1,19.8,122.2,1014.5,44.7,28.5,343.6,29.8,10,,2010-05-25T05:37:38,2010-05-25T20:16:37,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/26/2010,75.7,49.5,62,75.7,46.3,61.9,49.2,66.4,0.001,100,4.17,rain,0,0,45.5,31.8,148.4,1014.2,69.8,8.3,370.2,31.9,10,,2010-05-26T05:37:01,2010-05-26T20:17:26,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/27/2010,87.7,57.1,72.4,84.1,57.1,71.4,45.9,46.7,0,0,0,,0,0,32.5,20.9,175.3,1009.4,58.5,25.8,378.8,32.7,10,,2010-05-27T05:36:27,2010-05-27T20:18:14,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/28/2010,88.7,61.2,76.2,84.9,61.2,74.9,38.3,27.9,0,0,0,,0,0,33.4,23.6,176.8,1005.2,66,28.5,370.4,31.9,10,,2010-05-28T05:35:54,2010-05-28T20:19:01,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/29/2010,79.9,55.6,69.5,79.9,55.6,69.5,41,36.9,0,0,0,,0,0,36.9,23.5,353.1,1003.8,64.8,25.9,382.8,32.9,10,,2010-05-29T05:35:23,2010-05-29T20:19:47,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/30/2010,71.5,46.6,58.5,71.5,42.8,58.1,36.5,46,0,0,0,,0,0,28.8,19.9,126.4,1014.6,51.9,17.5,373.3,32.4,10,,2010-05-30T05:34:53,2010-05-30T20:20:32,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/31/2010,79.1,50.8,65.2,79.1,50.8,65.2,35.1,37.7,0,0,0,,0,0,30,17,140.5,1011.4,34.7,24.6,378.6,32.7,10,,2010-05-31T05:34:26,2010-05-31T20:21:16,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/1/2010,81.6,50.5,66,79.3,50.5,65.6,35.4,36.6,0,0,0,,0,0,28.5,14.1,56.7,1007.3,62.1,26.6,291.9,25.2,8,,2010-06-01T05:34:01,2010-06-01T20:21:58,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,KAPA,72469523036,72565003017,72466693067"
Colorado,6/2/2010,76.6,51.9,63.3,76.6,51.9,63.3,44.3,54.4,0,0,0,,0,0,21.9,14.9,172.5,1010.1,73.4,26.2,261.9,22.4,7,,2010-06-02T05:33:37,2010-06-02T20:22:40,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/3/2010,79.4,55.9,66.5,79.4,55.9,66.5,42.8,44.3,0,0,0,,0,0,16.1,12.7,191.1,1007.3,72.5,26.1,275.6,23.6,8,,2010-06-03T05:33:16,2010-06-03T20:23:20,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/4/2010,89.9,56.4,74.1,86,56.4,72.8,42.6,36,0,0,0,,0,0,20.8,15.3,209.8,1005.8,73.1,21.9,338.8,29.2,10,,2010-06-04T05:32:56,2010-06-04T20:24:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/5/2010,82.7,59.6,71.8,81.3,59.6,71.6,48.9,45.9,0,0,0,,0,0,20.5,14.7,105.6,1009.4,77.8,22.7,313.6,26.9,9,,2010-06-05T05:32:38,2010-06-05T20:24:38,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDEN,KBKF,72469523036,KAPA,72565003017,72466693067"
Colorado,6/6/2010,89,56.1,72.1,86.7,56.1,71.6,54.1,57.7,0.013,100,4.17,rain,0,0,30.3,21.6,188.4,1013.6,49.6,19.9,358.8,31.1,10,,2010-06-06T05:32:22,2010-06-06T20:25:14,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/7/2010,92.4,58.5,75.1,89.8,58.5,74.3,54.9,56.3,0,0,0,,0,0,25.3,12.5,75.1,1007.4,66,24,368.2,31.8,10,,2010-06-07T05:32:08,2010-06-07T20:25:49,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/8/2010,76.6,56.4,65.5,76.6,56.4,65.5,51.4,63.4,0.219,100,12.5,rain,0,0,32.2,17.1,75.1,1012.5,79,13.9,331.2,28.6,10,,2010-06-08T05:31:56,2010-06-08T20:26:23,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/9/2010,82.8,56.3,69.6,82.6,56.3,69.6,56.6,65.6,0,0,0,,0,0,23.7,16.1,177.5,1010.2,68.4,17.2,354.5,30.6,10,,2010-06-09T05:31:46,2010-06-09T20:26:56,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/10/2010,80.8,59.4,69,80.7,59.4,69,54.7,62.3,0.005,100,12.5,rain,0,0,31.1,16.1,37.2,1003.3,61.9,16.2,370,31.9,10,,2010-06-10T05:31:38,2010-06-10T20:27:27,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/11/2010,73.2,55.3,62.7,73.2,55.3,62.7,52.1,71.1,0.273,100,20.83,rain,0,0,33.9,27.4,17.3,1008.4,87.7,13.1,346.9,30.1,10,,2010-06-11T05:31:31,2010-06-11T20:27:56,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/12/2010,58.4,46.4,48.4,58.4,40.5,44.4,47.3,95.9,0.477,100,87.5,rain,0,0,33,18.3,357.4,1019.6,99.3,5.2,197.2,17.2,6,,2010-06-12T05:31:27,2010-06-12T20:28:24,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KBKF,KDEN,KAPA,72469523036,72565003017,72466693067"
Colorado,6/13/2010,53.5,46.8,49.3,53.5,40.9,46.7,47.1,92.4,0.21,100,70.83,rain,0,0,,14.5,353.3,1019.8,97.3,5.4,248.9,21.5,8,,2010-06-13T05:31:25,2010-06-13T20:28:51,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/14/2010,64.7,46.6,54,64.7,43.3,53.5,45.8,75.6,0.008,100,4.17,rain,0,0,23.3,14.4,105.1,1017.3,78.1,9.6,291.3,25.1,8,,2010-06-14T05:31:24,2010-06-14T20:29:16,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/15/2010,77.4,48.7,63.5,77.4,44.1,62.3,40.7,48.8,0,0,0,,0,0,19.5,13.9,181.3,1013.6,15.3,26.9,389.3,33.6,10,,2010-06-15T05:31:25,2010-06-15T20:29:39,0.12,Clear,Clear conditions throughout the day.,clear-day,"KDEN,KBKF,72469523036,KAPA,72565003017,72466693067"
Colorado,6/16/2010,85.7,56.7,72.2,82.6,56.7,71.3,43.5,42.6,0,0,0,,0,0,31.7,21.1,186.5,1006.1,30,28.5,380.4,32.9,10,,2010-06-16T05:31:28,2010-06-16T20:30:01,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/17/2010,84.5,59.2,72.1,81.5,59.2,71.4,34.6,28.3,0,0,0,,0,0,31.6,19.6,222.9,1005,17.4,27.7,396.7,34.5,10,,2010-06-17T05:31:33,2010-06-17T20:30:20,0.19,Clear,Clear conditions throughout the day.,clear-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/18/2010,85.7,49.4,68.4,82.6,47,67.6,44.2,46.7,0,0,0,,0,0,31.7,15.3,179.8,1010.7,27.7,15.4,390.7,33.6,10,,2010-06-18T05:31:40,2010-06-18T20:30:39,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/19/2010,84.3,55.4,68.9,82.2,55.4,68.6,52.3,59.6,0,0,0,,0,0,30,11.9,143.9,1012.1,57,11.9,391.1,33.6,10,,2010-06-19T05:31:49,2010-06-19T20:30:55,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/20/2010,79.7,58.3,68.8,79.7,58.3,68.8,57.4,68.2,0,0,0,,0,0,21.9,13.8,66.9,1011.5,71.4,8.3,392.1,33.7,10,,2010-06-20T05:31:59,2010-06-20T20:31:10,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/21/2010,88.1,60.3,70.6,84.4,60.3,70.1,54.1,63.4,0,0,0,,0,0,28.5,17.6,108.6,1010.7,58.5,15.3,389,33.6,10,,2010-06-21T05:32:11,2010-06-21T20:31:22,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/22/2010,87.8,53.7,71.4,84.1,53.7,70.3,43.7,46.4,0,0,0,,0,0,36.9,15.6,159.6,1010.9,40.1,28.5,369.7,31.9,10,,2010-06-22T05:32:25,2010-06-22T20:31:33,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/23/2010,78.9,49.4,65.5,78.9,47.7,65.4,42.9,46.6,0,0,0,,0,0,21.4,14.3,81.9,1020.5,19.4,27.3,388,33.5,10,,2010-06-23T05:32:41,2010-06-23T20:31:43,0.4,Clear,Clear conditions throughout the day.,clear-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/24/2010,91.7,58,75.3,87.3,58,73.8,40.7,35.4,0,0,0,,0,0,30.8,21.1,173.4,1015.4,27.7,28.5,376.9,32.7,10,,2010-06-24T05:32:58,2010-06-24T20:31:50,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/25/2010,94,61.2,79.1,89.3,61.2,77.4,37.8,27.4,0,0,0,,0,0,47.7,18.6,214,1010,48.2,25.3,322.8,27.7,10,,2010-06-25T05:33:17,2010-06-25T20:31:55,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/26/2010,86.2,60.4,73.5,82.9,60.4,72.9,45.3,39.9,0.074,100,8.33,rain,0,0,35.9,25.9,255.3,1009.1,83.3,25.6,281.7,24.4,8,,2010-06-26T05:33:38,2010-06-26T20:31:59,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/27/2010,80.2,53.3,65.3,79.5,53.3,65.3,50.7,62.5,0.123,100,12.5,rain,0,0,31.4,14.1,189.9,1013.4,55.7,18.3,295.7,25.5,8,,2010-06-27T05:34:00,2010-06-27T20:32:00,0.54,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/28/2010,87.4,56.1,71.7,83.9,56.1,70.7,43.4,41.1,0.03,100,4.17,rain,0,0,17.2,11,103.9,1014.1,31.4,26.6,371.9,32.3,10,,2010-06-28T05:34:24,2010-06-28T20:32:00,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/29/2010,88.8,58.8,74.6,85.2,58.8,73.5,43.4,36.4,0,0,0,,0,0,29.8,22.1,168.4,1015.7,43.6,26.4,378.1,32.7,10,,2010-06-29T05:34:49,2010-06-29T20:31:58,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,6/30/2010,88.4,62.4,75.9,84.6,62.4,74.8,37.7,26.9,0,0,0,,0,0,33.1,24.2,171.7,1013.9,26.3,25.6,384.4,33.5,10,,2010-06-30T05:35:16,2010-06-30T20:31:54,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/1/2010,89.8,62,75.7,85.9,62,74.6,43.8,34,0,0,0,,0,0,33.4,25,179.2,1011.8,50.2,20.6,343.3,29.5,10,,2010-07-01T05:35:44,2010-07-01T20:31:48,0.67,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBKF,KDEN,KAPA,72469523036,72565003017,72466693067"
Colorado,7/2/2010,87.1,61.9,75.7,83.9,61.9,75,49,40.8,0.017,100,4.17,rain,0,0,30,20,78.9,1007.7,70.9,18.8,317.9,27.6,9,,2010-07-02T05:36:14,2010-07-02T20:31:39,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/3/2010,92.3,61.5,76.1,87.9,61.5,74.8,46.9,42.5,0.007,100,12.5,rain,0,0,33.1,15.6,207.5,1003,75,26.5,372.7,32.1,10,,2010-07-03T05:36:45,2010-07-03T20:31:29,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/4/2010,76.7,52.1,63.9,76.7,52.1,63.9,53.5,71.7,0.834,100,29.17,rain,0,0,40.3,20.4,49.6,1009.4,83.6,12.7,349.6,30.3,10,,2010-07-04T05:37:18,2010-07-04T20:31:17,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/5/2010,79.2,51.2,65,79.2,51.2,65,43.7,54.4,0.315,100,16.67,rain,0,0,19.5,11.2,166.2,1012.2,33.4,25.6,385.3,33.2,10,,2010-07-05T05:37:51,2010-07-05T20:31:03,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/6/2010,85.8,59.3,70.5,82.8,59.3,69.9,44.9,44.1,0.031,100,16.67,rain,0,0,39.1,20.6,140.6,1011.2,37.6,22.2,367.8,31.8,10,,2010-07-06T05:38:26,2010-07-06T20:30:47,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/7/2010,65.8,53.9,58.9,65.8,53.9,58.9,54.3,85.4,0.084,100,41.67,rain,0,0,25.3,16.2,2.9,1020.3,98.8,8.2,200,17.2,6,,2010-07-07T05:39:03,2010-07-07T20:30:30,0.87,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/8/2010,70.4,55.8,61.2,70.4,55.8,61.2,54.5,80.4,0,0,0,,0,0,27.5,13.7,317.6,1022.6,84.4,7.5,183.1,15.8,6,,2010-07-08T05:39:40,2010-07-08T20:30:10,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/9/2010,80.8,51.3,65.6,80,51.3,65.6,49.6,61.3,0.014,100,8.33,rain,0,0,25.3,12.2,176.6,1020.3,37.7,18.7,341.2,29.5,10,,2010-07-09T05:40:19,2010-07-09T20:29:48,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/10/2010,84.8,59.2,70.5,82,59.2,70.1,47.8,48.3,0.003,100,4.17,rain,0,0,35.3,14.9,217,1013.9,51.2,18.8,294.1,25.4,9,,2010-07-10T05:40:59,2010-07-10T20:29:24,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/11/2010,85.9,55.3,69.8,82.7,55.3,69.3,45.8,46.6,0.029,100,4.17,rain,0,0,44.6,13.2,186.9,1011.3,51,21.9,274.5,23.7,9,,2010-07-11T05:41:40,2010-07-11T20:28:59,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/12/2010,89.6,57.2,74.7,85.8,57.2,73.5,44.2,38.2,0,0,0,,0,0,28.8,16.8,242.4,1006.8,40.3,26.6,369.8,32,10,,2010-07-12T05:42:22,2010-07-12T20:28:31,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,7/13/2010,94.1,65.3,80.3,89.8,65.3,78.5,42.5,28.4,0,0,0,,0,0,24.4,19.6,175.6,1005.6,37.6,27.7,357.8,30.8,10,,2010-07-13T05:43:05,2010-07-13T20:28:01,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
